NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,AÑO DE CORTE,DESCRIPCCIÓN CIIU
"830,095,213",ORGANIZACIÓN TERPEL SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,23.6,0.33,7.48,4.47,3.01,"2,022","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"890,900,608",ALMACENES EXITO S A,SUPERFINANCIERA,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,4711,COMERCIO,15.13,0.1,14.85,7.62,7.23,"2,022","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"900,276,962",D1 SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4711,COMERCIO,13.96,0.29,4.9,4.75,0.15,"2,022","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"890,900,943",COLOMBIANA DE COMERCIO SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4741,COMERCIO,11.14,0.34,6.14,3.96,2.18,"2,022","Comercio al por menor de computadores, equipo periférico, programas de informática y equipo de telecomunicaciones en establecimientos especializados"
"900,818,921",KOPPS COMMERCIAL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4632,COMERCIO,9.66,0.88,5.05,3.98,1.07,"2,022",Comercio al por mayor de bebidas y tabaco
"900,480,569",JERONIMO MARTINS COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4711,COMERCIO,8.62,-0.23,5.2,5.1,0.1,"2,022","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"890,107,487",SUPERTIENDAS Y DROGUERIAS OLIMPICA SA,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4711,COMERCIO,7.78,0.14,5.3,3.28,2.02,"2,022","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"860,002,554",PRIMAX COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,7.76,0.05,1.74,1.27,0.47,"2,022","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"900,585,067",CI TRAFIGURA PETROLEUM COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,6.57,-0.03,0.94,0.91,0.03,"2,022","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"800,242,106",SODIMAC COLOMBIA SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4774,COMERCIO,5.99,0.31,3.79,2.34,1.45,"2,022",Comercio al por menor de artículos médicos y ortopédicos en establecimientos especializados
"900,155,107",CENCOSUD COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4711,COMERCIO,4.64,-0.01,5.81,1.82,3.98,"2,022","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"860,005,223",CHEVRON PETROLEUM COMPANY,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,4.47,-0.06,1.45,1.37,0.08,"2,022","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"830,028,931",SAMSUNG ELECTRONICS COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4652,COMERCIO,4.34,0.03,1.87,1.62,0.25,"2,022","Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones"
"800,149,695",DROGUERIAS Y FARMACIAS CRUZ VERDE SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4773,COMERCIO,4.28,0.03,2.86,2.42,0.44,"2,022","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados"
"900,780,510",AUTOMOTORES TOYOTA COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4511,COMERCIO,3.58,0.15,0.67,0.48,0.19,"2,022",Comercio de vehículos automotores nuevos
"816,001,182",AUDIFARMA SA,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA-RISARALDA,4645,COMERCIO,3.5,0.05,2.4,2.2,0.2,"2,022","Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
"830,136,799",BIOMAX BIOCOMBUSTIBLES SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,3.09,0.08,1.47,1.0,0.47,"2,022","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"890,300,466",TECNOQUIMICAS SA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4669,COMERCIO,2.82,0.4,3.6,1.08,2.52,"2,022",Comercio al por mayor de otros productos n.c.p.
"900,646,156",TRAFIGURA MARKETING COLOMBIA SAS ESP,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,2.77,-0.04,1.0,1.07,-0.07,"2,022","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"811,009,788",DISTRACOM SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4731,COMERCIO,2.77,0.1,1.48,0.55,0.93,"2,022",Comercio al por menor de combustible para automotores
"900,017,447",FALABELLA DE COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4719,COMERCIO,2.52,0.05,1.45,1.12,0.33,"2,022","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas y tabaco"
"901,210,452",TERPEL EXPORTACIONES CI SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4731,COMERCIO,2.27,0.02,0.19,0.16,0.03,"2,022",Comercio al por menor de combustible para automotores
"800,216,181",GRUPO AVAL ACCIONES Y VALORES S A,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4799,COMERCIO,2.26,2.54,20.04,3.07,16.96,"2,022","Otro comercio al por menor no realizado en establecimientos, puestos de venta o mercados"
"900,736,182",APPLE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4651,COMERCIO,2.1,0.0,0.6,0.58,0.02,"2,022","Comercio al por mayor de computadores, equipo periférico y programas de informática"
"800,141,770",CI ACEPALMA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4620,COMERCIO,2.02,0.03,0.41,0.32,0.09,"2,022",Comercio al por mayor de materias primas agropecuarias; animales vivos
"900,319,753",PRICESMART COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4711,COMERCIO,1.99,0.0,1.1,0.62,0.48,"2,022","Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco"
"860,002,518",UNILEVER ANDINA COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,1.93,0.08,1.42,0.84,0.57,"2,022","Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
"900,777,972",CI TRAFIGURA COAL COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4641,COMERCIO,1.92,0.0,0.32,0.32,-0.0,"2,022","Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico"
"900,291,798",CI ADM COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4620,COMERCIO,1.91,0.01,0.41,0.34,0.07,"2,022",Comercio al por mayor de materias primas agropecuarias; animales vivos
"860,513,970",COMERCIALIZADORA INTERNACIONAL MILPA SOCIEDAD ANONIMA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,1.85,0.32,1.39,0.6,0.79,"2,022","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"890,904,224",CI UNIÓN DE BANANERO DE URABÁ SA - UNIBVA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4631,COMERCIO,1.85,-0.05,1.18,0.6,0.58,"2,022",Comercio al por mayor de productos alimenticios
"900,099,234",SUCDEN COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4620,COMERCIO,1.79,0.0,0.25,0.24,0.01,"2,022",Comercio al por mayor de materias primas agropecuarias; animales vivos
"890,932,389",TERNIUM COLOMBIA S A S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI-ANTIOQUIA,4663,COMERCIO,1.73,0.04,1.31,0.53,0.77,"2,022","Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción"
"900,943,243",SURAMERICA COMERCIAL SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,4719,COMERCIO,1.7,0.03,1.29,0.72,0.58,"2,022","Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas y tabaco"
"900,059,238",MAKRO SUPERMAYORISTA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4690,COMERCIO,1.7,-0.01,1.35,0.72,0.63,"2,022",Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.
"800,035,776",NEXSYS DE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA -CUNDINAMARCA,4651,COMERCIO,1.7,0.0,1.08,0.91,0.17,"2,022","Comercio al por mayor de computadores, equipo periférico y programas de informática"
"900,824,185",HP COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4659,COMERCIO,1.69,-0.09,1.02,0.99,0.03,"2,022",Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.
"900,491,889",MASSER SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4731,COMERCIO,1.62,0.0,0.06,0.05,0.01,"2,022",Comercio al por menor de combustible para automotores
"900,703,240",MAZDA DE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4511,COMERCIO,1.61,0.05,0.48,0.24,0.24,"2,022",Comercio de vehículos automotores nuevos
"830,140,321",HUAWEI TECHNOLOGIES COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4652,COMERCIO,1.59,0.04,1.37,1.31,0.06,"2,022","Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones"
"900,466,209",PORSCHE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4511,COMERCIO,1.57,0.07,0.77,0.62,0.14,"2,022",Comercio de vehículos automotores nuevos
"800,186,960",ALTIPAL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4690,COMERCIO,1.55,0.03,0.5,0.42,0.08,"2,022",Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.
"900,327,290",DERCO COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,CHIA-CUNDINAMARCA,4511,COMERCIO,1.55,0.04,0.75,0.57,0.18,"2,022",Comercio de vehículos automotores nuevos
"830,006,051",DIAGEO COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4632,COMERCIO,1.52,0.09,0.81,0.71,0.11,"2,022",Comercio al por mayor de bebidas y tabaco
"901,012,419",SUCAFINA COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4620,COMERCIO,1.52,0.04,0.46,0.45,0.0,"2,022",Comercio al por mayor de materias primas agropecuarias; animales vivos
"830,004,993",CASATORO SA BIC,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4511,COMERCIO,1.5,0.06,0.81,0.45,0.37,"2,022",Comercio de vehículos automotores nuevos
"900,030,538",LENOVO (ASIA PACIFIC) LIMITED SUCURSAL COLOMBIA LENOVO (ASIA PACIFIC) LIMITED SUCURSAL COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4651,COMERCIO,1.48,-0.03,0.48,0.41,0.07,"2,022","Comercio al por mayor de computadores, equipo periférico y programas de informática"
"800,130,426",GYJ FERRETERIAS SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4663,COMERCIO,1.48,0.07,0.88,0.47,0.4,"2,022","Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción"
"860,047,657",INCHCAPE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4511,COMERCIO,1.46,0.06,0.91,0.55,0.36,"2,022",Comercio de vehículos automotores nuevos
"800,000,946",PROCTER & GAMBLE COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4649,COMERCIO,1.42,0.03,0.69,0.42,0.27,"2,022",Comercio al por mayor de otros enseres domésticos n.c.p.
"830,018,214",MPS MAYORISTA DE COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA -CUNDINAMARCA,4651,COMERCIO,1.36,0.01,0.42,0.38,0.04,"2,022","Comercio al por mayor de computadores, equipo periférico y programas de informática"
"811,025,289",NOVAVENTA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4799,COMERCIO,1.34,0.07,0.44,0.24,0.21,"2,022","Otro comercio al por menor no realizado en establecimientos, puestos de venta o mercados"
"900,118,612",CI MEPRECOL SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4662,COMERCIO,1.32,0.01,0.03,0.0,0.03,"2,022",Comercio al por mayor de metales y productos metalíferos
"830,078,966",METROKIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4511,COMERCIO,1.27,0.1,0.71,0.28,0.43,"2,022",Comercio de vehículos automotores nuevos
"830,065,063",LG ELECTRONICS COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4644,COMERCIO,1.27,0.05,0.54,0.43,0.11,"2,022",Comercio al por mayor de aparatos y equipo de uso doméstico
"800,091,549",IMPRESISTEM SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA -CUNDINAMARCA,4651,COMERCIO,1.25,0.01,0.42,0.36,0.06,"2,022","Comercio al por mayor de computadores, equipo periférico y programas de informática"
"890,800,718",SUCESORES DE JOSE JESUS RESTREPO & CIA SA CASA LUKER SA,SUPERSOCIEDADES,Eje Cafetero,CALDAS,MANIZALES-CALDAS,4690,COMERCIO,1.25,0.06,1.01,0.49,0.51,"2,022",Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.
"860,001,307",DISTRIBUIDORA NISSAN SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4511,COMERCIO,1.25,0.1,0.99,0.47,0.52,"2,022",Comercio de vehículos automotores nuevos
"900,561,761",INGRAM MICRO SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,COTA -CUNDINAMARCA,4651,COMERCIO,1.23,0.0,0.64,0.55,0.09,"2,022","Comercio al por mayor de computadores, equipo periférico y programas de informática"
"890,903,024",COMERCIAL INTERNACIONAL DE EQUIPOS Y MAQUNARIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4511,COMERCIO,1.23,0.07,1.09,0.83,0.26,"2,022",Comercio de vehículos automotores nuevos
"900,473,830",GUNVOR COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,1.21,0.01,0.39,0.37,0.02,"2,022","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"900,411,999",COFCO INTERNATIONAL COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4620,COMERCIO,1.16,-0.0,0.2,0.23,-0.03,"2,022",Comercio al por mayor de materias primas agropecuarias; animales vivos
"901,174,177",NITROFERT SAS,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4664,COMERCIO,1.15,0.0,0.66,0.65,0.01,"2,022","Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
"860,056,150",BASF QUIMICA COLOMBIANA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4664,COMERCIO,1.12,0.02,0.59,0.51,0.09,"2,022","Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
"800,141,506",THE ELITE FLOWER SAS CI,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4620,COMERCIO,1.11,0.05,0.89,0.48,0.4,"2,022",Comercio al por mayor de materias primas agropecuarias; animales vivos
"900,780,755",FORD MOTOR COLOMBIA S A S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4511,COMERCIO,1.1,0.09,0.47,0.38,0.09,"2,022",Comercio de vehículos automotores nuevos
"860,003,216",PRODUCTOS ROCHE SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,1.09,0.02,0.74,0.32,0.43,"2,022","Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
"900,277,370",ISHOP COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4741,COMERCIO,1.08,0.03,0.19,0.18,0.01,"2,022","Comercio al por menor de computadores, equipo periférico, programas de informática y equipo de telecomunicaciones en establecimientos especializados"
"900,114,676",MINEX COMPAÑIA INTERNACIONAL SAS CI,SUPERSOCIEDADES,Centro - Oriente,NORTE DE SANTANDER,CUCUTA-NORTE DE SANTANDER,4661,COMERCIO,1.08,0.03,0.16,0.15,0.01,"2,022","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"900,891,350",GOAM 1 CI SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,1.06,-0.0,0.15,0.15,0.0,"2,022","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"890,918,965",CI TECNICAS BALTIME COLOMBIA SA,SUPERSOCIEDADES,Costa Atlántica,MAGDALENA,SANTA MARTA-MAGDALENA,4620,COMERCIO,1.06,0.01,0.54,0.36,0.17,"2,022",Comercio al por mayor de materias primas agropecuarias; animales vivos
"860,002,538",NOVARTIS DE COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,1.05,0.01,0.64,0.48,0.16,"2,022","Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
"890,916,575",DISLICORES,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4632,COMERCIO,1.05,0.03,0.59,0.47,0.12,"2,022",Comercio al por mayor de bebidas y tabaco
"830,113,598",ADMINEGOCIOS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4799,COMERCIO,1.02,0.9,9.19,2.64,6.55,"2,022","Otro comercio al por menor no realizado en establecimientos, puestos de venta o mercados"
"860,020,058",DISTRIBUIDORA TOYOTA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4511,COMERCIO,1.01,0.06,0.27,0.18,0.09,"2,022",Comercio de vehículos automotores nuevos
"900,219,353",SEABOARD OVERSEAS COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4620,COMERCIO,1.01,-0.0,0.26,0.25,0.01,"2,022",Comercio al por mayor de materias primas agropecuarias; animales vivos
"900,237,877",CI CARGILL DE COLOMBIA LTDA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4620,COMERCIO,0.97,-0.01,0.18,0.08,0.1,"2,022",Comercio al por mayor de materias primas agropecuarias; animales vivos
"860,002,576",GENERAL DE EQUIPOS DE COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4659,COMERCIO,0.95,-0.01,0.95,0.65,0.29,"2,022",Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.
"900,580,962",SOLINSA GC SAS,SUPERSALUD,Centro - Oriente,SANTANDER,GIRON-SANTANDER,4645,COMERCIO,0.95,0.03,0.37,0.23,0.14,"2,022","Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
"860,002,590",BRENNTAG COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4664,COMERCIO,0.95,0.03,0.56,0.4,0.16,"2,022","Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
"860,002,134",ABBOTT LABORATORIES DE COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,0.95,0.04,0.87,0.24,0.62,"2,022","Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
"892,300,678",ETICOS SERRANO GOMEZ LTDA,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,4773,COMERCIO,0.94,0.03,0.46,0.34,0.12,"2,022","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados"
"900,047,822",PETROBRAS COLOMBIA COMBUSTIBLES SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,0.93,-0.01,0.17,0.08,0.1,"2,022","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
"860,039,561",PFIZER SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,0.93,0.04,0.66,0.36,0.3,"2,022","Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
"830,010,337",SANOFI AVENTIS DE COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4645,COMERCIO,0.92,0.04,0.69,0.21,0.48,"2,022","Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador"
"830,129,327",FARMATODO COLOMBIA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4773,COMERCIO,0.91,0.03,0.53,0.42,0.11,"2,022","Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados"
"811,028,650",MADECENTRO COLOMBIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4752,COMERCIO,0.91,0.06,0.58,0.42,0.15,"2,022","Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados"
"890,902,070",CIJ GUTIERREZ Y CIA SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,4669,COMERCIO,0.9,0.0,0.1,0.03,0.07,"2,022",Comercio al por mayor de otros productos n.c.p.
"900,462,511",BRITISH AMERICAN TOBACCO COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4632,COMERCIO,0.9,0.12,1.13,0.53,0.59,"2,022",Comercio al por mayor de bebidas y tabaco
"830,035,246",DELL COLOMBIA INC,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4741,COMERCIO,0.89,-0.01,0.69,0.68,0.02,"2,022","Comercio al por menor de computadores, equipo periférico, programas de informática y equipo de telecomunicaciones en establecimientos especializados"
"900,226,684",CI BULK TRADING SUR AMERICA SAS,SUPERSOCIEDADES,Centro - Oriente,NORTE DE SANTANDER,CUCUTA-NORTE DE SANTANDER,4661,COMERCIO,0.89,0.0,0.29,0.2,0.08,"2,022","Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos"
